,region,value,device_type
9621,UT,24.0,ios
9622,UT,36.0,android
9623,UT,26.0,ios
9660,UT,15.0,android
9661,UT,12.0,ios
9662,UT,13.0,android
9663,UT,17.0,ios
9664,UT,10.0,android
9665,UT,6.0,ios
9744,GA,38.0,android
9745,GA,43.0,ios
9746,GA,34.0,android
9747,GA,49.0,ios
9748,GA,52.0,android
9749,GA,78.0,ios
9851,UT,21.0,android
9852,UT,20.0,ios
9853,UT,15.0,android
9854,UT,36.0,ios
9855,UT,26.0,android
9856,UT,28.0,ios
10003,UT,22.0,android
10004,UT,36.0,ios
10005,UT,31.0,android
10006,UT,36.0,ios
10007,UT,22.0,android
10008,UT,40.0,ios
10070,UT,37.0,android
10071,UT,16.0,ios
10072,UT,31.0,android
10073,UT,26.0,ios
10074,UT,36.0,android
10075,UT,29.0,ios
10383,UT,22.0,android
10384,UT,10.0,ios
10385,UT,24.0,android
10386,UT,7.0,ios
10387,UT,30.0,android
10388,UT,19.0,ios
10596,UT,7.0,android
10597,UT,4.0,ios
10598,UT,4.0,android
10599,UT,0.0,ios
10600,UT,7.0,android
10601,UT,4.0,ios
10624,UT,14.0,android
10625,UT,22.0,ios
10626,UT,17.0,android
10627,UT,33.0,ios
10628,UT,26.0,android
10629,UT,19.0,ios
10630,UT,4.0,android
10631,UT,0.0,ios
10632,UT,0.0,android
10633,UT,0.0,ios
10634,UT,0.0,android
10635,UT,0.0,ios
10657,UT,130.0,android
10658,UT,61.0,ios
10659,UT,154.0,android
10660,UT,74.0,ios
10661,UT,175.0,android
10662,UT,66.0,ios
10761,UT,14.0,android
10762,UT,18.0,ios
10763,UT,26.0,android
10764,UT,16.0,ios
10765,UT,27.0,android
10766,UT,19.0,ios
10804,UT,29.0,android
10805,UT,16.0,ios
10806,UT,27.0,android
10807,UT,27.0,ios
10808,UT,24.0,android
10809,UT,15.0,ios
10854,UT,22.0,android
10855,UT,28.0,ios
10912,UT,,
10941,UT,12.0,android
10942,UT,11.0,ios
10943,UT,16.0,android
10944,UT,14.0,ios
10945,UT,14.0,android
10946,UT,17.0,ios
10972,GA,16.0,android
10973,GA,19.0,ios
10974,GA,10.0,android
10975,GA,21.0,ios
10976,GA,11.0,android
10977,GA,13.0,ios
11000,UT,30.0,android
11001,UT,34.0,ios
11002,UT,37.0,android
11003,UT,41.0,ios
11004,UT,30.0,android
11005,UT,22.0,ios
11054,UT,23.0,android
11055,UT,35.0,ios
11056,UT,26.0,android
11057,UT,24.0,ios
11058,UT,21.0,android
11059,UT,26.0,ios
11066,UT,19.0,android
11067,UT,9.0,ios
11068,UT,23.0,android
11069,UT,17.0,ios
11070,UT,21.0,android
11071,UT,19.0,ios
11138,UT,9.0,android
11139,UT,11.0,ios
11140,UT,25.0,android
11141,UT,15.0,ios
11142,UT,11.0,android
11143,UT,9.0,ios
11176,UT,23.0,android
11177,UT,16.0,ios
11178,UT,19.0,android
11179,UT,22.0,ios
11180,UT,21.0,android
11181,UT,21.0,ios
11198,UT,4.0,android
11199,UT,0.0,ios
11200,UT,4.0,android
11201,UT,0.0,ios
11202,UT,4.0,android
11203,UT,4.0,ios
11400,UT,42.0,android
11401,UT,29.0,ios
11402,UT,53.0,android
11403,UT,44.0,ios
11404,UT,48.0,android
11405,UT,46.0,ios
11472,UT,52.0,android
11473,UT,39.0,ios
11474,UT,59.0,android
11475,UT,49.0,ios
11476,UT,75.0,android
11477,UT,41.0,ios
11548,UT,0.0,android
11549,UT,0.0,ios
11550,UT,4.0,android
11551,UT,0.0,ios
11552,UT,0.0,android
11553,UT,4.0,ios
11561,UT,40.0,android
11562,UT,17.0,ios
11563,UT,34.0,android
11564,UT,13.0,ios
11565,UT,37.0,android
11566,UT,16.0,ios
11579,UT,70.0,android
11580,UT,63.0,ios
11581,UT,87.0,android
11582,UT,61.0,ios
11583,UT,91.0,android
11584,UT,69.0,ios
11598,UT,9.0,android
11599,UT,10.0,ios
11600,UT,8.0,android
11601,UT,7.0,ios
11602,UT,6.0,android
11603,UT,20.0,ios
11604,GA,0.0,android
11605,GA,13.0,ios
11606,GA,5.0,android
11607,GA,10.0,ios
11608,GA,0.0,android
11609,GA,10.0,ios
11701,GA,31.0,android
11702,GA,30.0,ios
11703,GA,38.0,android
11704,GA,42.0,ios
11705,GA,37.0,android
11706,GA,34.0,ios
11933,GA,43.0,android
11934,GA,44.0,ios
11935,GA,58.0,android
